Name,WMC,TCC,LOCC,NBM,GOD LASS,CBO,ATFD,NOAP,NOA,NOM,FDP,CM,CC,NOAM,AMW,Brainlass
PubClient,22,0.42,126,0,0,6,0,0,4,11,0,0,0,0,2,0
PubServer,13,0.47,72,0,0,5,0,0,2,7,0,0,0,0,1.86,0
RelayDemo,27,0.39,149,0,0,0,0,0,3,10,0,0,0,0,2.7,0
SizeStreamable,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0
Streamable,0,0,10,0,0,0,0,0,0,2,0,2,1,0,0,0
ThreadFactory,0,0,9,0,0,0,0,0,0,6,0,2,2,0,0,0
DefaultSocketFactory,23,0,97,0,0,0,0,0,0,24,0,0,0,0,0.96,0
Owner,19,0.36,60,0,0,1,2,0,2,10,1,0,0,2,1.9,0
StackType,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ByteArrayDataOutputStream,23,0.22,68,0,0,1,0,0,2,13,0,18,7,0,1.77,0
TimeService,16,0.11,82,0,0,0,0,0,5,10,0,2,1,0,1.6,0
Tuple,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ByteArray,15,0.2,45,0,0,0,0,0,3,8,0,11,6,3,1.88,0
MergeId,12,0.29,48,0,0,0,0,0,3,9,0,0,0,0,1.33,0
MessageIterator,0,1,4,0,0,0,0,0,0,1,0,1,1,0,0,0
ArrayIterator,5,0,22,0,0,0,0,0,2,4,0,0,0,0,1.25,0
T,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AsciiString,23,0.29,80,0,0,0,0,0,1,12,0,7,2,0,1.92,0
Average,14,0.07,64,0,0,1,2,0,2,10,1,2,1,2,1.4,0
BaseDataOutputStream,39,0,147,0,0,0,0,0,1,19,0,15,4,0,2.05,0
Bits,141,0,782,0,0,1,0,0,0,71,0,0,0,0,1.99,0
BlockingInputStream,39,0.18,246,0,0,0,0,0,7,17,0,0,0,0,2.29,0
BoundedHashMap,3,0,16,0,0,0,0,0,2,3,0,0,0,0,1,0
