,Name,CM,CC,CINT,MAXNESTING,NOAV,CYCLO,LOC,ATFD,FDP,LAA,label
24952,LineInfo,1,1,5,1,12,2,16,4,2,0.73,0
24953,findNext,0,0,0,3,6,4,14,3,2,0.73,0
24954,read,0,0,8,2,28,3,42,6,4,0.73,0
24955,updateAnimatedValue,0,0,2,2,4,3,15,2,1,0.71,0
24956,updateAnimatedValue,0,0,2,2,4,3,14,2,1,0.71,0
24957,runImpl,0,0,13,12,59,34,197,4,1,0.71,1
24958,averageColorRGB,1,1,1,4,32,7,39,2,1,0.71,0
24959,BaseScriptingEnvironment,4,4,2,0,5,1,6,2,1,0.71,0
24960,SVGAnimationEngine,1,1,3,0,7,1,8,2,2,0.71,0
24961,cursorHrefToFilter,0,0,10,3,42,12,124,2,1,0.71,1
24962,doExplicitGlyphLayout,0,0,17,9,89,87,394,18,2,0.71,1
24963,handleElementAdded,0,0,5,2,7,7,22,2,1,0.71,0
24964,parse_pHYs_chunk,0,0,3,3,8,5,24,2,1,0.71,0
24965,run,0,0,0,3,4,4,17,2,1,0.71,0
24966,createFindPanel,0,0,4,0,13,1,30,2,1,0.71,0
24967,createShowResultPanel,0,0,4,0,13,1,36,2,1,0.71,0
24968,JConfigurationPanel,1,1,0,1,7,4,17,2,1,0.71,0
24969,toSVG,0,0,0,4,33,6,102,2,1,0.71,1
24970,toSVG,0,0,0,4,39,10,121,2,1,0.71,1
24971,toSVG,0,0,1,2,31,3,68,2,1,0.71,1
24972,toSVG,1,1,3,2,38,3,98,2,1,0.71,1
24973,runImpl,0,0,5,2,15,3,34,2,1,0.71,0
24974,handleException,0,0,2,3,12,5,23,2,1,0.71,0
24975,PNGImage,1,1,11,19,32,28,129,11,2,0.71,1
24976,newInterval,0,0,0,1,9,3,14,3,2,0.7,0
24977,addListener,2,2,1,2,12,7,15,3,1,0.7,0
24978,createSubBridgeContext,1,1,2,1,6,4,21,3,2,0.7,0
24979,createCSSFontFace,1,1,0,4,22,10,60,3,2,0.7,0
24980,parsePath,0,0,7,3,18,8,38,3,2,0.7,0
24981,run,0,0,0,4,7,4,25,3,1,0.7,0
24982,printNotation,0,0,3,4,20,14,92,3,1,0.7,1
24983,toSVG,0,0,4,4,59,11,175,3,2,0.7,1
24984,run,0,0,4,4,48,15,242,7,1,0.7,1
24985,set,0,0,0,2,8,7,23,4,1,0.69,0
24986,getBounds2D,0,0,0,2,13,13,43,4,1,0.69,0
24987,draw,0,0,0,5,47,37,132,4,1,0.69,1
24988,start,1,1,9,4,17,5,47,5,3,0.69,0
24989,Panel,1,1,3,1,26,2,106,5,2,0.69,0
24990,setCurrentTime,0,0,2,1,7,2,12,1,1,0.67,0
24991,createLiveAnimatedTransformList,0,0,2,0,6,1,8,1,1,0.67,0
24992,createLiveAnimatedBoolean,0,0,2,0,6,1,8,1,1,0.67,0
24993,createLiveAnimatedString,0,0,2,0,5,1,8,1,1,0.67,0
24994,createLiveAnimatedPreserveAspectRatio,0,0,2,0,4,1,8,1,1,0.67,0
24995,createLiveAnimatedMarkerOrientValue,0,0,2,0,5,1,8,1,1,0.67,0
24996,createLiveAnimatedPathData,0,0,2,0,6,1,8,1,1,0.67,0
24997,createLiveAnimatedNumber,0,0,2,0,7,1,8,1,1,0.67,0
24998,createLiveAnimatedNumberList,0,0,2,0,7,1,8,1,1,0.67,0
24999,createLiveAnimatedPoints,0,0,2,0,6,1,8,1,1,0.67,0
25000,createLiveAnimatedLengthList,0,0,2,0,8,1,8,1,1,0.67,0
25001,createLiveAnimatedInteger,0,0,2,0,6,1,8,1,1,0.67,0
25002,createLiveAnimatedEnumeration,0,0,2,0,7,1,8,1,1,0.67,0
25003,createLiveAnimatedLength,0,0,2,0,8,1,8,1,1,0.67,0
25004,createLiveAnimatedRect,0,0,2,0,6,1,7,1,1,0.67,0
25005,getCurrentBeginTime,1,1,1,1,4,3,8,1,1,0.67,0
25006,getHyperlinkBeginTime,1,1,2,1,4,3,9,2,2,0.67,0
25007,RepeatTimingSpecifier,1,1,1,0,7,1,6,1,1,0.67,0
25008,remove,2,1,1,2,3,4,11,2,1,0.67,0
25009,getInputStream,1,1,0,0,3,1,3,1,1,0.67,0
25010,importCascadedStyleMaps,1,1,2,2,12,5,26,1,1,0.67,0
25011,updateIdEntry,0,0,3,2,4,4,9,1,1,0.67,0
25012,export,0,0,1,4,8,5,19,1,1,0.67,0
25013,deepExport,0,0,1,4,8,5,19,1,1,0.67,0
25014,initializeEventSupport,17,7,3,1,3,2,10,2,1,0.67,0
25015,AbstractEntityReference,0,0,1,1,5,3,10,1,1,0.67,0
25016,curvetoCubicAbs,0,0,3,0,10,1,6,1,1,0.67,0
25017,createShape,0,0,2,0,4,1,10,1,1,0.67,0
25018,createShape,0,0,2,0,4,1,10,1,1,0.67,0
25019,createShape,0,0,2,0,4,1,10,1,1,0.67,0
25020,getValue,0,0,4,2,5,3,9,2,1,0.67,0
25021,isImportant,0,0,4,2,5,3,9,2,1,0.67,0
25022,item,0,0,2,0,3,1,3,1,1,0.67,0
25023,item,0,0,2,1,2,3,6,1,1,0.67,0
25024,getCurrentLocale,0,0,1,1,3,3,6,1,1,0.67,0
25025,next,0,0,0,1,5,2,7,2,1,0.67,0
25026,hit,0,0,2,1,4,2,9,1,1,0.67,0
25027,equals,6,6,1,4,9,6,19,1,1,0.67,0
25028,createContext,1,1,2,4,20,26,97,1,1,0.67,1
25029,Any2LumRed,1,1,0,0,5,1,13,1,1,0.67,0
25030,computeCounts,0,0,1,4,30,5,53,2,1,0.67,0
25031,getCTM,0,0,3,3,7,6,27,1,1,0.67,0
25032,getDefaultFontFamily,0,0,4,0,6,1,10,1,1,0.67,0
25033,setAnimationLimitingMode,0,0,3,2,3,4,15,3,1,0.67,0
25034,handleElement,0,0,2,1,4,2,7,1,1,0.67,0
25035,handleInterpreterException,3,3,2,2,3,3,6,1,1,0.67,0
25036,getLineNumber,8,4,1,1,5,2,12,1,1,0.67,0
25037,getAccessControlContext,4,1,1,1,1,2,4,1,1,0.67,0
25038,resume,1,1,2,1,2,2,14,1,1,0.67,0
25039,getCurrentTime,1,1,1,1,4,3,9,1,1,0.67,0
25040,keyPressed,0,0,1,1,3,3,12,1,1,0.67,0
25041,mouseExited,0,0,3,1,5,2,15,1,1,0.67,0
25042,getTextChunk,0,0,0,3,31,9,60,2,2,0.67,0
25043,setSelection,1,1,4,1,8,2,13,1,1,0.67,0
25044,getOverlineShape,0,0,3,1,10,2,23,2,1,0.67,0
25045,getUnderlineShape,0,0,3,1,10,2,25,2,1,0.67,0
25046,getStrikethroughShape,0,0,3,1,10,2,19,2,1,0.67,0
25047,run,0,0,1,3,5,3,19,2,1,0.67,0
25048,handleElementAdded,0,0,6,2,10,8,33,1,1,0.67,0
25049,handleEvent,0,0,2,2,7,4,17,1,1,0.67,0
25050,handleEvent,0,0,2,2,7,4,16,1,1,0.67,0
25051,createAnimation,0,0,3,2,25,1,73,3,2,0.67,0
25052,resume,2,2,1,0,3,1,7,1,1,0.67,0
25053,resume,1,0,1,0,3,1,7,1,1,0.67,0
25054,AnimatablePreserveAspectRatioValueFactory,0,0,1,0,2,1,3,1,1,0.67,0
25055,AnimatableLengthValueFactory,0,0,1,0,2,1,3,1,1,0.67,0
25056,AnimatableLengthListValueFactory,0,0,1,0,2,1,3,1,1,0.67,0
25057,AnimatableNumberListValueFactory,0,0,1,0,2,1,3,1,1,0.67,0
25058,createValue,0,0,2,2,4,1,10,1,1,0.67,0
25059,AnimatableRectValueFactory,0,0,1,0,2,1,3,1,1,0.67,0
25060,createValue,0,0,2,2,6,2,14,1,1,0.67,0
