Name,LOC,CYCLO,MAXNESTING,NOAV,ATFD,LAA,FDP,BrainMethod
start,3,1,0,3,0,1,0,0
VfHandler,0,0,0,0,0,1,0,0
getDumpFacade,8,1,0,0,0,1,0,0
getParser,3,1,0,1,0,1,0,0
getRuleViolationFactory,3,1,0,0,0,1,0,0
doesElContainIdentifiers,3,1,0,1,0,1,0,0
visit,35,9,5,6,2,0,2,0
visit,8,2,1,2,0,1,0,0
indexNodes,7,2,1,4,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,4,1,0,2,0,1,0,0
visitAll,11,2,1,3,0,1,0,0
apply,3,1,0,2,0,1,0,0
AbstractVfRule,3,1,0,1,0,1,0,0
testSingleDoubleQuote,3,1,0,1,0,1,0,0
testSingleDoubleQuoteAndELFunction,3,1,0,1,0,1,0,0
testSingleDoubleQuoteAndEL,3,1,0,1,0,1,0,0
suite,3,1,0,0,0,1,0,0
testElExpressionInAttribute,15,1,0,11,0,1,0,0
testElExpression,15,1,0,11,0,1,0,0
compare,14,4,1,4,4,0,1,0
noQuoteAttrWithJspEL,8,1,0,6,0,1,0,0
sortNodesByName,20,4,1,1,0,1,0,0
unclosedStartTagWithUnmatchedCloseOfDifferentTag,30,1,0,4,0,1,0,0
unmatchedTagDoesNotInfluenceStructure,25,1,0,4,0,1,0,0
unclosedParentTagClosedBeforeChild,25,1,0,4,0,1,0,0
nestedMultipleTags,36,1,0,4,0,1,0,0
nestedEmptyTags,26,1,0,4,0,1,0,0
unclosedTagMultipleLevels,17,1,0,4,0,1,0,0
unclosedTagAndNoQuotesForAttribute,11,1,0,3,0,1,0,0
unclosedTag,11,1,0,3,0,1,0,0
singleQuoteAttrTab,9,1,0,6,0,1,0,0
noQuoteAttrEmpty,12,2,1,5,0,1,0,0
quoteAttrValue,7,1,0,5,0,1,0,0
quoteEL,10,1,0,7,0,1,0,0
textAfterOpenAndClosedTag,11,1,0,4,0,1,0,0
unclosedTagsWithELWithin,18,1,0,8,0,1,0,0
